Código;Nombre;Información Adicional;Valor
PAPE050;CUADERNOS UNIVERSITARIOS DE 4 LINEAS;PAPELERIA;1,56
PAPE051;CUADERNOS COCIDOS DE LINEAS;PAPELERIA;1,56
PAPE052;CUADERNOS COCIDOS DE 2 LINEAS;PAPELERIA;1,56
PAPE053;CUADERNOS COCIDOS DE CUADROS;PAPELERIA;1,56
PAPE054;DETECTOR BILLETES FALSO;PAPELERIA;1,12
PAPE055;DVD-RW;PAPELERIA;1,34
PAPE056;ESCARCHAS EN FUNDAS;PAPELERIA;0,32
PAPE057;ESCARCHAS EN TUBITOS;PAPELERIA;0,31
PAPE058;ESTILETES GRANDES DE COLORES;PAPELERIA;1,12
PAPE059;ESTILETES PEQUENOS ARTESCO;PAPELERIA;0,54
PAPE060;FIGURA DE FOMIX DIBUJOS;PAPELERIA;1,12
PAPE061;FOMIX NORMALES A4 VARIOS COLORES;PAPELERIA;0,18
PAPE062;FOMIX ESCARCHADOS A4 VARIOS COLORES;PAPELERIA;0,27
PAPE063;FOMIX TIPO TOALLA A4 VARIOS COLORES;PAPELERIA;0,27
PAPE064;FOMIX NORMALES PLIEGO VARIOS COLORES;PAPELERIA;1,12
PAPE065;FOMIX ESCARCHADOS PLIEGO VARIOS COLORES;PAPELERIA;1,79
PAPE066;FUNDA DE FIGURA DE FOMIX SURTIDOS;PAPELERIA;1,12
PAPE067;FUNDA DE LAPICES DE COLORES PASSOLA;PAPELERIA;0,89
PAPE068;FUNDA DE LETRAS DE FOMIX;PAPELERIA;1,12
PAPE069;FUNDA DE LIGAS PEQUEÑAS;PAPELERIA;0,45
PAPE070;FUNDA DE PLUMAS DE COLORES PASSOLA;PAPELERIA;1,12
PAPE071;FUNDA DE REGALO PARA VINO;PAPELERIA;1,12
PAPE072;FUNDAS DE ESCARCHAS GRUESAS DE VARIOS COLORES;PAPELERIA;0,31
PAPE073;FUNDAS DE REGALOS EXTRA GRANDES;PAPELERIA;1,79
PAPE074;FUNDAS DE REGALOS GRANDES;PAPELERIA;1,34
PAPE075;FUNDAS DE REGALOS MEDIANAS;PAPELERIA;0,89
PAPE076;FUNDAS DE REGALOS PEQUEÑAS;PAPELERIA;0,46
PAPE077;GLOBOS METALIZADOS VARIOS COLORES;PAPELERIA;0,13
PAPE078;GLOBOS VARIOS COLORES;PAPELERIA;0,09
PAPE079;GOMA EN BARRA GRANDE ESTILO;PAPELERIA;1,79
PAPE080;GOMA EN BARRA MEDIANA ESTILO;PAPELERIA;1,34
PAPE081;GOMA EN BARRA PEQUEÑA ESTILO;PAPELERIA;0,89
PAPE082;GOMA EN BARRA STEADLE MEDIANA;PAPELERIA;1,79
PAPE083;GOMA EN BARRA STEADLER GRANDE;PAPELERIA;2,68
PAPE084;GOMA EN BARRA STEADLER PEQUEÑA;PAPELERIA;1,12
PAPE085;GOMA ESTILO ESCOLAR KIDS MEDIANO;PAPELERIA;0,89
PAPE086;GOMA DE SILICON 60ML;PAPELERIA;0,89
PAPE087;GRADUADORES GRANDES;PAPELERIA;0,67
PAPE088;GRADUADORES PEQUEÑOS;PAPELERIA;0,40
PAPE089;GRAYONES PEQUEÑOS ARTESCO;PAPELERIA;0,76
PAPE090;HOJAS A4 CUADROS PAQUETES;PAPELERIA;0,89
PAPE091;HOJAS A4 LINEAS PAQUETES;PAPELERIA;0,89
PAPE092;HOJAS A4 2 LINEAS PAQUETES;PAPELERIA;0,89
PAPE093;HOJAS A4 4 LINEAS PAQUETES;PAPELERIA;0,89
PAPE094;HOJAS OFICIO 1 LINEA PAQUETES;PAPELERIA;0,89
PAPE095;HOJAS OFICIO 2 LINEAS PAQUETES;PAPELERIA;0,89
PAPE096;HOJAS OFICIO CUADROS PAQUETES;PAPELERIA;0,89
PAPE097;HOJAS OFICIO 4 LINEAS PAQUETES;PAPELERIA;0,89
PAPE098;HOJAS PAPEL MINISTRO CUADROS Y LINEA;PAPELERIA;0,09
PAPE099;JUEGO GEOMETRICO;PAPELERIA;1,30
PAPE100;LAPICEROS BIC;PAPELERIA;0,89
PAPE1001;ACUARELAS BESTER CAJA POR 12 COLORES;;2,23
PAPE1002;MARCADORES ARTESCO PUNTA FINA VARIOS COLORES;;1,12
PAPE1003;LANA ARTESCO VARIOS COLORES;;0,45
PAPE1004;PINCELES PEQUEÑOS;;0,31
PAPE1005;PINCELES MEDIANOS;;0,40
PAPE1006;PINCELES GRANDES;;0,49
PAPE101;LAPICES COLORES CAJA PEQUEÑO X 12 ARTESCO;PAPELERIA;1,12
PAPE102;LAPICES COLORES CAJA PEQUEÑO X 12 CARIOCA;PAPELERIA;1,12
PAPE103;LAPICES COLORES CAJA PEQUEÑO X 12 PASOLA;PAPELERIA;0,89
PAPE104;LAPICES COLORES GRANDES TRIANGULAR X 12 BESTER;PAPELERIA;2,23
PAPE105;LAPICES COLORES GRANDES TRIANGULAR X 12 ESTILO;PAPELERIA;2,23
PAPE106;LAPICES COLORES PEQUEÑOS X 12 ESTILO;PAPELERIA;1,12
PAPE107;LAPICES DE COLORES ACUARELABLES ARTESCO;PAPELERIA;3,13
PAPE108;LAPICES DE COLORES BORRABLES ARTESCO;PAPELERIA;3,13
PAPE109;LAPICES DE COLORES ESTILO JUMBO;PAPELERIA;2,68
PAPE110;LAPICES DE COLORES GRANDES PASSOLA;PAPELERIA;1,34
PAPE111;LAPICES DE COLORES METALICOS ARTESCO;PAPELERIA;2,90
PAPE112;LAPICES DE COLORES PEQUEÑOS X 12 BESTER;PAPELERIA;1,12
PAPE114;LAPIZ MONGOL 2B;PAPELERIA;0,31
PAPE115;LENTEJUELAS PASSOLA;PAPELERIA;0,31
PAPE116;LIBRETAS # 2 PEQUEÑAS LINEAS Y CUADROS;PAPELERIA;0,76
PAPE117;LIBRETAS # 1 PEQUEÑITAS LINEAS Y CUADROS;PAPELERIA;0,58
PAPE118;LIMPIA PIPAS;PAPELERIA;0,22
PAPE119;MARCADORES JUMBO ARTESCO;PAPELERIA;3,79
PAPE120;MARCADORES JUMBO X 12 BESTER;PAPELERIA;5,80
PAPE121;MARCADORES JUMBO X 6 BESTER;PAPELERIA;3,35
PAPE122;MARCADORES PASTELES PASSOLA X 6 PUNTA PLUMON;PAPELERIA;3,13
PAPE123;MARCADORES PELIKAN X 12;PAPELERIA;2,54
PAPE124;MARCATODO PERMANENTE PASTEL PASSOLA X 6;PAPELERIA;2,46
PAPE125;MASITA PLASTILINA ARTESCO;PAPELERIA;1,16
PAPE126;MINI TABLEROS DE HOJAS;PAPELERIA;2,46
PAPE127;OLEO PASTEL PASSOLA;PAPELERIA;2,23
PAPE128;OJITOS MOVIBLES FUNDA PEQUEÑAS;PAPELERIA;0,22
PAPE129;PALILLO DE HELADOS PEQUENAS;PAPELERIA;0,89
PAPE130;PALILLOS DE HELADOS DE COLORES GRANDES;PAPELERIA;1,34
PAPE131;PALILLOS DE HELADOS DE COLORES PEQUENAS;PAPELERIA;0,89
PAPE132;PALILLOS DE HELADOS GRANDES;PAPELERIA;1,34
PAPE133;PAPEL DE REGALOS;PAPELERIA;0,31
PAPE134;PAPEL SEDA O COMETA VARIOS COLORES X HOJA;PAPELERIA;0,22
PAPE135;PAPEL MANTECA VARIOS COLORES;PAPELERIA;0,31
PAPE136;PAQUETE 5 HOJAS GUILLETTE;PAPELERIA;0,76
PAPE137;PAQUETE DE GLOBOS DE CUMPLEANOS;PAPELERIA;3,50
PAPE138;PAQUETES DE LIGAS PEQUENOS PASSOLA;PAPELERIA;0,45
PAPE139;PERFORADORAS ARTESCO;PAPELERIA;2,68
PAPE140;PISTOLA DE SILICON GRANDE 60W BESTER;PAPELERIA;7,86
PAPE141;PISTOLA DE SILICON PEQUEÑA 10W;PAPELERIA;5,80
PAPE142;PLASTILINA ESTILO GRANDE;PAPELERIA;0,89
PAPE143;PLASTILINA JUMBO BESTER;PAPELERIA;1,79
PAPE144;PLASTILINA PAYASITO 12 COLORES JUMBO;PAPELERIA;1,34
PAPE145;PLASTILINA PAYASO PEQUEÑA;PAPELERIA;0,45
PAPE146;PLASTILINA PELICAN GRANDE;PAPELERIA;1,34
PAPE147;PLASTILINA PLAY DOH;PAPELERIA;1,56
PAPE148;PLATILINA ARTESCO NEON;PAPELERIA;2,23
PAPE149;PLATILINA ESTILO PEQUEÑA;PAPELERIA;0,54
PAPE150;PLATILINA PASTEL JUMBO ARTESCO;PAPELERIA;0,89
PAPE151;PLUMAS BIC EN FUNDA X 3 COLORES;PAPELERIA;0,89
PAPE152;POMPOS GRANDES;PAPELERIA;0,31
PAPE153;POMPOS PEQUEÑOS;PAPELERIA;0,22
PAPE154;PUNZON DE MADERA;PAPELERIA;0,67
PAPE155;PLANTILLAS DE NUMEROS Y LETRAS;PAPELERIA;1,34
PAPE156;REGLAS 20 CM ESTILO;PAPELERIA;5,36
PAPE157;RESALTADORES PELIKAN;PAPELERIA;0,89
PAPE158;RESMA DE PAPEL A4;PAPELERIA;4,91
PAPE159;SACAPUNTA DISEÑO MICKYE Y PRINCESAS;PAPELERIA;0,89
PAPE160;STIKY NOTAS ARTESCO;PAPELERIA;0,89
PAPE161;SUPER BRUJITA PEGA TODO;PAPELERIA;0,22
PAPE162;TABLEROS DE HOJAS GRANDES;PAPELERIA;3,57
PAPE163;TEMPERA METALIZADA PELIKAN;PAPELERIA;2,46
PAPE164;TEMPERA PAYASITO X 6;PAPELERIA;1,34
PAPE165;TIJERA ARTESCO;PAPELERIA;0,76
PAPE166;TIJERAS PEQUEÑAS ESTILO;PAPELERIA;0,76
PAPE167;TINTA PARA SELLOS PELIKAN;PAPELERIA;1,79
PAPE168;VELAS DE COLORES;PAPELERIA;0,89
PAPE169;VELAS DE NUMEROS;PAPELERIA;0,54
PAPE170;VELAS EXPLOSIVAS;PAPELERIA;0,54
PAPE20001;FORMATO A4;PAPELERIA;0,15
PAPE500003;HOJAS BOND;PAPELERIA;0,02
PAPE50001;ORDEN BOOK;PAPELERIA;1,74
PAPE50004;CARPETAS PLASTICAS;PAPELERIA;0,74
PAPE50006;LAPICES DE COLORES ESTILO;PAPELERIA;1,30
PAPE50007;SACAPUNTA METAL;PAPELERIA;0,43
PAPE50008;MARCADORES DE PIZARRA VARIOS COLORES;PAPELERIA;0,65
PAPEL00200;PROTECTORES HOJAS FINOS;PAPELERIA;0,22
PAPEL2003;PROTECTORES DE HOJAS GRUESOS;PAPELERIA;0,31
PAPEL20031;RESMAS A4;PAPELERIA;0,30
PAPEL20036;STICKY NOTES;PAPELERIA;1,12
PAPEL3001;LAPICES CON BORRADOR DE COLORES;PAPELERIA;2,85
PAPEL30014;PLUMAS BIC;PAPELERIA;0,36
PAPEL3002;PLUMAS CON DISEÑOS;PAPELERIA;0,45
PAPEL30222;PLUMAS BORRABLES ESTILO;PAPELERIA;1,12
PAPEL3202;PAQUETES HOJAS CUADRICULAS;PAPELERIA;0,89
PAPEL40001;RESMAS DE HOJAS A4;PAPELERIA;4,50
PAPEL4000152;CUADERNO COSIDO;PAPELERIA;15625,00
PAPEL40002;NOTITAS FLUORESCENTE;PAPELERIA;1,00
PAPEL410002;PLUMAS ESTILO;PAPELERIA;0,36
PAPEL410005;GRAPADORA PEQUEÑA;PAPELERIA;1,50
PAPEL4100051;VINCHAS INVISIBLES;PAPELERIA;0,54
PAPEL5001;SOBRE MANILA A3;PAPELERIA;0,25
PAPEL5006;PISTOLA SILICON;PAPELERIA;4018,00
PEPE50009;PLIEGO PAPEL BOND;PAPELERIA;0,17
RESEREP1001;RESERVORIO RESIDUAL DE TINTA EPSON;REEMPLAZO COMPENENTE L5190;22,32
ROUT1001;ROUTER LINKSYS;;45,00
TEC50002;TV BOX;;25,00
TECMANT001;MANTENIMIENTO LAPTOP ACTUALIZACION SISTEMA;ACTUALIZACION OFICCE;25,00
TECN001;ADAPTADOR LIGHTNING A JACK 3,5 FAMALE MINI SIZE;PAPELERIA;5,36
TECN002;ADAPTADOR TIPO C A JACK 3,5 FAMALE MARCA SANSUNG;TECNOLOGIA;4,46
TECN003;ANTENA WIFI USB PIX- LINK LV-UW10S;TECNOLOGIA;7,59
TECN004;AUDIFONO CELULAR COBY STARKS VARIOS COLORES 3,5 PLUG;TECNOLOGIA;8,93
TECN005;AUDIFONOS AIWA TIPO C CELULAR;TECNOLOGIA;7,59
TECN006;AUDIFONOS BLUETOOTH M10;TECNOLOGIA;13,39
TECN007;AUDIFONOS BLUETOOTH OREJAS COLORES;TECNOLOGIA;16,07
TECN008;AUDIFONOS BLUETOOTH OREJAS MINI MOUSE;TECNOLOGIA;16,07
TECN009;AUDIFONOS BLUETOOTH SANSUNG;TECNOLOGIA;11,61
TECN010;AUDIFONOS BLUETOOTH T20;TECNOLOGIA;13,39
TECN011;AUDIFONOS CELULAR COBY INTENSE DEPORTIVO VERDES 3,5 PLUG;TECNOLOGIA;8,93
TECN012;AUDIFONOS CELULAR KM STEREO K802 B/N;TECNOLOGIA;4,02
TECN013;AUDIFONOS CELULAR SONY MDR- E9LP VARIOS COLORES ORGINALES;TECNOLOGIA;5,36
TECN014;AUDIFONOS CELULAR VIDVIE HS 655 PLUG 3,5 NARANJA;TECNOLOGIA;5,80
TECN015;AUDIFONOS DE CELULAR SANSUNG AKG 3,5 PLUG;TECNOLOGIA;4,02
TECN016;AUDIFONOS GAME CELULAR PSP WOOU WOOU GM-A1;TECNOLOGIA;8,93
TECN017;AUDIFONOS HUAWEI PLUG 3,5 CELULAR;TECNOLOGIA;4,02
TECN018;AUDIFONOS J5 SANSUNG;TECNOLOGIA;2,23
TECN019;AUDIFONOS KLIP XTREME KSK301;TECNOLOGIA;16,07
TECN020;AUDIFONOS KLIP XTREME OBSSESION;TECNOLOGIA;16,07
TECN021;AUDIFONOS KLIPXTREME KSH-270;TECNOLOGIA;10,71
TECN022;AUDIFONOS PARA COMPUTADORAS GENIUS;TECNOLOGIA;8,93
TECN023;AUDIFONOS PARA COMPUTADORAS QUANTUM;TECNOLOGIA;7,14
TECN024;AUDIFONOS PARA IPHONE DE PLUG;TECNOLOGIA;4,02
TECN025;AUDIFONOS STEREO S 110;TECNOLOGIA;4,02
TECN026;AUDIFONOS SUPER BASS G800;TECNOLOGIA;16,07
TECN027;AUDIFONOS X93 COLORES PASTELES;TECNOLOGIA;4,02
TECN028;AUDIFONOS XIOMI GENERICO TIPO C;TECNOLOGIA;4,46
TECN029;AUDOFONOS BLUETOOTH RAMITECH;TECNOLOGIA;8,93
TECN030;BLUETOOTH CAR;TECNOLOGIA;5,80
TECN031;CABLE AUXILIAR 1 A 2 1,5M-306A;TECNOLOGIA;1,34
TECN032;CABLE AUXILIAR PLUG STEREO 3,5 GENERICO VARIOS COLORES;TECNOLOGIA;1,34
TECN033;CABLE DATA USB PARA TABLET 2,0;TECNOLOGIA;3,57
TECN034;CABLE DE AUDIO RAMITECH LIGHTNING BLUETOOTH 3,5 RAM 119;TECNOLOGIA;5,80
TECN035;CABLE DE USB A TIPO C GENERICO VARIOS COLORES;TECNOLOGIA;3,13
TECN036;CABLE DE USB A TIPO V8 GENERICO DE VARIOS COLORES;TECNOLOGIA;3,13
TECN037;CABLE DE USB LIGHTNING PARA IPHONE GENERICO;TECNOLOGIA;3,13
TECN038;CABLE HDMI 1,50 METRO;TECNOLOGIA;5,36
TECN039;CABLE HDMI 3 METROS;TECNOLOGIA;6,70
TECN040;CABLE HDMI 5 METROS;TECNOLOGIA;8,93
TECN041;CABLE IPHONE LIGHTNING A USB A TIPO C MK 1 METROS;TECNOLOGIA;5,36
TECN042;CABLE IPHONE LIGHTNING A USB A TIPO C MK 2 METROS;TECNOLOGIA;6,70
TECN043;CABLE IPHONE LIGHTNING A USB MK 1 METROS;TECNOLOGIA;4,02
TECN044;CABLE IPHONE LIGHTNING A USB MK 2 METROS;TECNOLOGIA;5,80
TECN045;CABLE TIPO C A PLUG 3,5 STEREO Q-A192B GENERICO;TECNOLOGIA;4,46
TECN046;CABLE TIPO C VIDVE FAST CB4111;TECNOLOGIA;5,80
TECN047;CABLE TIPO C XIOMI;TECNOLOGIA;3,13
TECN048;CABLE USB 3,0 PARA CEL/ ENCLOUSER/ DISCO DURO EXTERNO;TECNOLOGIA;3,13
TECN049;CABLE USB TIPO C RAMITECH;TECNOLOGIA;4,02
TECN050;CABLE USB TIPO C REALME CAJA AMARILLA;TECNOLOGIA;3,13
TECN051;CABLE USB TIPO V8 CA-8071 FAST TREQA;TECNOLOGIA;3,57
TECN052;CABLE USB TIPO V8 RAMITECH;TECNOLOGIA;3,13
TECN053;CABLE USB V8 DATO/ CARGA JOYROOM S-L352 1MT;TECNOLOGIA;4,02
TECN054;CABLES TIPO C SIN CAJA BLANCO O NEGRO;TECNOLOGIA;3,13
TECN055;CABLES V3 SIN CAJA;TECNOLOGIA;3,13
TECN056;CABLES V8 CARGA RAPIDA EN FUNDA;TECNOLOGIA;2,68
TECN057;CAMARA WEB GENIUS;TECNOLOGIA;19,65
TECN058;CAMARA WEB HD CAJA CON FILOS VERDES;TECNOLOGIA;13,39
TECN059;CAMARAS TIPO GO PRO;TECNOLOGIA;25,00
TECN060;CARGADOR AUTO EZRA 2,1;TECNOLOGIA;6,70
TECN061;CARGADOR AUTO MELKING USB/TIPOC 20W MK-070CV SIN CABLE;TECNOLOGIA;4,46
TECN062;CARGADOR AUTO USB 2 PUERTOS GEN;TECNOLOGIA;4,46
TECN063;CARGADOR AUTO XO 1 PUERTO USB CABLE V8 2,0A;TECNOLOGIA;4,46
TECN064;CARGADOR COMPLETO HUAWEI ORIGINA TIPO C CARGA RAPIDA 3,0 AM;TECNOLOGIA;8,93
TECN065;CARGADOR COMPLETO TIPOC 3,1 AM MARCA AIWA CS-319;TECNOLOGIA;7,59
TECN066;CARGADOR COMPLETO V8 3,1 AM MARCA AIWA CS-319;TECNOLOGIA;7,59
TECN067;CARGADOR DE IPHONE USB TIPO C 20 W SIN CABLE;TECNOLOGIA;10,71
TECN068;CARGADOR GENERICO NOKIA 1100;TECNOLOGIA;3,13
TECN069;CARGADOR GENERICO V8 EN CAJA BLNCA SANSUNG;TECNOLOGIA;4,02
TECN070;CARGADOR INALAMBRICO AIWA;TECNOLOGIA;14,29
TECN071;CARGADOR IPHON DE 5W LIGHTNING A USB RAMITECH A1385;TECNOLOGIA;8,04
TECN072;CARGADOR IPHONE 11 TIPO C COMPLETO 18 W;TECNOLOGIA;10,72
TECN073;CARGADOR IPHONE 11/12 TIPO C COMPLETO 20 W;TECNOLOGIA;10,72
TECN074;CARGADOR IPHONE/ IPAD MINI LIGHTNING A USB 5W;TECNOLOGIA;8,93
TECN075;CARGADOR SAMSUN GENERICO 3,1 AM COMPLETO TIPO V8 CARGA RAPIDA CAJA NEGRA;TECNOLOGIA;8,93
TECN076;CARGADOR SIN CABLE IPHONE TIPO C GENERICO J&C;TECNOLOGIA;10,72
TECN077;CARGADOR UNIVERSAL PARA BATERIA DE PARED;TECNOLOGIA;10,72
TECN078;CARGADOR VIDVE 3A CA06T TIPO C COMPLETO;TECNOLOGIA;8,93
TECN079;CARGADOR VIDVE 3A PD20W RAM-X13 USB/TIPO C COMPLETO NEGRO;TECNOLOGIA;10,71
TECN080;CARGADORES RAMITECH 3,0 V8 CARGA RAPIDA;TECNOLOGIA;4,02
TECN081;CARGADORES RAMITECH 3,0 V8 ECONOMICOS;TECNOLOGIA;8,93
TECN082;CARGADORES SANSUNG (CHANCHITOS) SIN CAJA;TECNOLOGIA;3,13
TECN083;CONTROL REMOTO LG;TECNOLOGIA;4,02
TECN084;CONTROL REMOTO SONY;TECNOLOGIA;4,02
TECN085;CONTROL REMOTO UNIVERSAL;TECNOLOGIA;6,70
TECN086;COOLER LAPTO 17 PULGADAS 1 VENTILADOR GRANDE N191;TECNOLOGIA;11,61
